Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Fibrocartilage Chondrocyte Articular Cartilage Human	4/111	0.9964186999814156	0.9999956375987203	0	0	0.3394612312953849	0.0012178946410302339	TCEAL8;TMEM119;SPRY1;TCEAL9
Schwalie Et al.Nature.G3 Adipose Tissue Mouse	9/188	0.9965677786172424	0.9999956375987203	0	0	0.45588636053958304	0.0015673942781535952	SOCS3;JUN;CEBPB;JUND;MID1IP1;CEBPG;NRIP1;JUNB;IER2
Primitive Endoderm Cell Embryo Human	3/95	0.9967396500543003	0.9999956375987203	0	0	0.2962039117219506	9.673061440279952E-4	FLRT3;GCNT3;RNASE1
Schwalie Et al.Nature.G2 Adipose Tissue Mouse	9/189	0.9967815827094427	0.9999956375987203	0	0	0.4533282520325203	0.0014613523689557292	EID1;MAFB;TPBG;TMEM119;SLC25A51;GAS1;PHLDA3;RHOB;TCEAL9
Natural Killer Cell Spleen Mouse	4/114	0.997182064034271	0.9999956375987203	0	0	0.33014790581947195	9.316489387151928E-4	DDX28;FFAR2;SMIM30;TCEAL9
FOXN4+ Cell Lung Human	2/79	0.9974353626332326	0.9999956375987203	0	0	0.23601512411638995	6.060707148546004E-4	HYLS1;PIGW
AXL+SIGLEC6+ Dendritic Cell Blood Human	2/80	0.9976632619670623	0.9999956375987203	0	0	0.23297630639402792	5.450416540052886E-4	CXCR2;SOX4
CD141+CLEC9A+ Dendritic Cell Blood Human	3/102	0.9982125526563562	0.9999956375987203	0	0	0.2751527432378496	4.922611165898835E-4	XCR1;MTERF2;TLR10
Ependymal Cell Brain Mouse	1/61	0.9982665581049779	0.9999956375987203	0	0	0.15150978407557356	2.628613004958197E-4	GJA1
Brush Cell (Tuft Cell) Trachea Mouse	1/62	0.998438153447321	0.9999956375987203	0	0	0.14901772084688392	2.329247573434788E-4	KCTD12
Hematopoietic Stem Cell Bone Marrow Human	1/62	0.998438153447321	0.9999956375987203	0	0	0.14901772084688392	2.329247573434788E-4	HTR1F
